title,author,tag,rating,rating_count,publisher,publish_date,price,summary,detail_url,cover_url,isbn,pages
走出黑森林：自我转变的旅程,陈海贤,心理学,8.4,515,新星出版社,2025-3-17,69.00,"面对一份“煎熬”的工作，究竟要不要继续“苟下去”？
面对一段痛苦却又不舍的关系，该选择忍受还是脱离它？
面对一成不变又迷茫的生活，怎么才能找到自己想要的样子...",https://book.douban.com/subject/37267912/,https://img2.doubanio.com/view/subject/s/public/s35099911.jpg,,
助人技术本土化的刻意练习,宋歌、黄书华、林燕,心理学,8.8,183,中国人民大学出版社,2025-3-16,79.90元,"多年来，以西方心理咨询理论为主导的心理咨询，存在着至少以下三个偏见：
* “我”是独立存在的；
* 身心是二元对立的；
* 情绪需要直白的语言表达。
本书旨...",https://book.douban.com/subject/37262683/,https://img2.doubanio.com/view/subject/s/public/s35102911.jpg,,
煤气灯效应,[美]罗宾 · 斯特恩 / 郑文文,心理学,7.1,467,中译出版社,2025-3,79.00元,"◎ 编辑推荐
☆全新修订升级！首部完整分析煤气灯操控重磅作品
罗宾·斯特恩博士所著的《煤气灯效应》是关于本概念最为权威、经典的著作之一。作者根据社会的变迁分...",https://book.douban.com/subject/37238471/,https://img3.doubanio.com/view/subject/s/public/s35114787.jpg,,
一日浮生,[美] 欧文·D.亚隆 / 周明,心理学,8.2,1018,机械工业出版社,2025-3,72.00元,"“一日浮生”这个书名灵感来源于古罗马皇帝马可·奥勒留的《沉思录》——
“你我世人，皆如寄人生，或铭记，或遗忘，大体如此。 世间白驹过隙，记忆者和被纪念者，不...",https://book.douban.com/subject/37290701/,https://img9.doubanio.com/view/subject/s/public/s35114275.jpg,,
圣多纳释放法,[美]海尔·德沃斯金、[美] 海尔·德沃斯金 / 顾啸峰,心理学,8.8,316,北京科学技术出版社,2025-3,108,圣多纳释放法是一种通过心理层面的放手动作，清理我们在事业、家庭、感情、金钱、健康等方面产生的种种情绪与压力的方法。采用自问自答的方式，让我们学会接纳不完美，...,https://book.douban.com/subject/37241957/,https://img1.doubanio.com/view/subject/s/public/s35086268.jpg,,
心分两路,(美) T.M.鲁赫曼 / 张继文,心理学,8.5,79,上海教育出版社,2025-3,99.90元,药物治疗实施的是大脑修复术，心理治疗是观照灵魂的镜子，精神病学中存在着既对立又相辅相成的两大路径——精神动力学模式和生物医学模式。可是，当情绪治疗药物得到显...,https://book.douban.com/subject/37097554/,https://img3.doubanio.com/view/subject/s/public/s35047062.jpg,,
心智简史,[美] 奥吉·奥加斯、[印] 赛·加达姆 / 汪祚军、吕飒飒,心理学,8.0,44,浙江科学技术出版社,2025-3,139.90元,在DeepSeek掀起的新一轮“人工智能热”中，你是否感到恐慌：人工智能是否真的会取代人类？在数字技术迅疾迭代、社会瞬息万变的当下，你是否迷茫于如何规划未来...,https://book.douban.com/subject/37252290/,https://img3.doubanio.com/view/subject/s/public/s35095727.jpg,,
科学脱单指南：如何让你爱的人爱上你,陈思逸 高巧雨 / 高巧雨,心理学,8.2,343,人民邮电出版社,2025-3,59.80,"为什么你总是遇不到对的人？是缘分未到，还是方法不对？
在脱单的路上，你是否也有这样的困惑：主动追求怕被拒绝，被动等待又怕错过；明明付出很多，却总是得不到珍惜...",https://book.douban.com/subject/37270092/,https://img9.doubanio.com/view/subject/s/public/s35101836.jpg,,
与哀伤共处,李昀鋆,心理学,8.1,684,广东人民出版社,2025-3,88.00元,新华每日电讯、一条、新周刊、新京报书评周刊、南方周末、正面连接、搜狐极昼工作室、T中文版、观察者网、vista看天下、澎湃新闻思想市场、十点人物志、第一财经...,https://book.douban.com/subject/37209712/,https://img3.doubanio.com/view/subject/s/public/s35092417.jpg,,
如何将知识转化为行动,[美]肯·布兰佳（Ken Blanchard）、[美]保罗·梅耶（Paul J. Meyer）、[美]迪克·卢赫（Dick Ruhe） / 刘祥亚,心理学,6.7,148,民主与建设出版社,2025-3,69.8,"揭开“学习”真相
跨越知与行之间的鸿沟
管理大师肯·布兰佳的著作一直被广泛阅读,但他发现，很多人并没有在工作中将他的理念和方法付诸实践。一次偶然的机会，让他...",https://book.douban.com/subject/37283363/,https://img3.doubanio.com/view/subject/s/public/s35109463.jpg,,
